image,href,adress,price,title
https://img.olx.com.br/thumbs256x256/51/511912080062491.jpg,https://(null).olx.com.br/(null)/(null)/cronos-sedan-1-3-drive-firefly-gsr-flex-4p-aut-677038913,Kobrasol,R$ 57.490,Cronos Sedan 1.3 Drive Firefly GSR (Flex) 4p Aut
"https://img.olx.com.br/thumbs256x256/47/476917117767177.jpg,475917115945270.jpg,476917114468589.jpg,470917119214466.jpg,478917114813815.jpg,470917111860453.jpg,474917116189754.jpg",https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/palio-elx-2005-708680279,"Palhoça, 
										São Sebastião",R$ 56.660,Palio ELX 2005 - 2005
https://img.olx.com.br/thumbs256x256/77/770016002677880.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiorino-2018-2019-1-4-mpi-furgao-hard-working-8v-flex-2p-manual-662877994,"São José, 
										Campinas",R$ 31.900,FIORINO 2018/2019 1.4 MPI FURGÃO HARD WORKING 8V FLEX 2P MANUAL - 2019
https://img.olx.com.br/thumbs256x256/82/820021008524943.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/punto-essence-dualogic-1-6-692009784,"São José, 
										Nossa Senhora do Rosário",R$ 105.900,Punto ESSENCE Dualogic 1.6  - 2014
https://img.olx.com.br/thumbs256x256/43/433913116479751.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/toro-2016-2017-2-0-16v-turbo-diesel-volcano-4wd-automatico-694002917,"São José, 
										Fazenda Santo Antônio",R$ 59.900,TORO 2016/2017 2.0 16V TURBO DIESEL VOLCANO 4WD AUTOMÁTICO - 2017
https://img.olx.com.br/thumbs256x256/81/811020001099047.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-dobl-2017-2018-1-8-mpi-essence-7l-16v-flex-4p-manual-662789653,"São José, 
										Campinas",R$ 29.790,FIAT DOBLÒ 2017/2018 1.8 MPI ESSENCE 7L 16V FLEX 4P MANUAL - 2018
"https://img.olx.com.br/thumbs256x256/78/782017007518778.jpg,783017007985771.jpg,783017000441001.jpg",https://(null).olx.com.br/(null)/(null)/siena-el-1-4-8v-flex-689029207,Kobrasol,R$ 35.900,Siena EL 1.4 8V (Flex)
"https://img.olx.com.br/thumbs256x256/81/817020009858480.jpg,812020008707226.jpg,811020009142467.jpg,811020008858906.jpg,811020000619148.jpg,814020000968389.jpg,812020007382225.jpg,818020004105704.jpg",https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/palio-weekend-adventure-locker-1-8-16v-706679289,"Palhoça, 
										Ponte do Imaruim",R$ 279.000,Palio Weekend Adventure LOCKER 1.8 16V - 2013
https://img.olx.com.br/thumbs256x256/80/809911094929477.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/raridade-68-000km-palio-wk-1-4-elx-2010-708608950,"São José, 
										Campinas",R$ 32.900,Raridade 68.000km Palio Wk 1.4 ELX 2010 - 2010
https://img.olx.com.br/thumbs256x256/58/581928111013916.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/grand-siena-attrac-1-4-8v-638861234,"Palhoça, 
										Caminho Novo",R$ 40.800,Grand Siena ATTRAC. 1.4 8V - 2013
