price,href,title
 R$ 36.900,https://(null).olx.com.br/(null)/(null)/etios-sedan-x-1-5-flex-489889794,"
									Etios Sedan X 1.5 (Flex)
								"
 R$ 20.890,https://(null).olx.com.br/(null)/(null)/uno-mille-fire-economy-1-0-flex-4p-669124922,"
									Uno Mille Fire Economy 1.0 (Flex) 4p
								"
 R$ 72.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-2016-2017-1-8-16v-flex-longitude-4p-automatico-686153329,"
									JEEP RENEGADE 2016/2017 1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO - 2017
								"
 R$ 36.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fit-lx-1-4-8v-665802997,"
									Fit LX 1.4 8V - 2013
								"
 R$ 7.000,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/omega-93-703644352,"
									Omega 93 - 1993
								"
 R$ 35.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/c4-picasso-2011-2011-2-0-16v-gasolina-4p-automatico-697516757,"
									C4 PICASSO 2011/2011 2.0 16V GASOLINA 4P AUTOMÁTICO - 2011
								"
 R$ 11.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/xsara-picasso-glx-1-6-16v-697092147,"
									Xsara Picasso GLX 1.6 16V - 2006
								"
 R$ 42.999,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2018-2018-1-5-sigma-flex-se-manual-662878134,"
									FORD KA + 2018/2018 1.5 SIGMA FLEX SE MANUAL - 2018
								"
 R$ 58.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/focus-sed-ti-ti-plus-2-0-16v-699998152,"
									Focus Sed. TI./TI.Plus 2.0 16V - 2015
								"
 R$ 30.490,https://(null).olx.com.br/(null)/(null)/uno-sporting-1-4-8v-flex-4p-680545681,"
									Uno Sporting 1.4 8V (Flex) 4p
								"
 R$ 8.990,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/repasse-corsa-legalizado-679398965,"
									Repasse Corsa Legalizado - 2000
								"
 R$ 31.890,https://(null).olx.com.br/(null)/(null)/livina-x-gear-sl-1-8-16v-flex-aut-687504721,"
									Livina X-Gear SL 1.8 16V (flex) (aut)
								"
 R$ 39.900,https://(null).olx.com.br/(null)/(null)/hb20s-1-6-comfort-4p-616558913,"
									HB20S 1.6 Comfort 4p
								"
 R$ 100.490,https://(null).olx.com.br/(null)/(null)/jeep-compass-2-0-longitude-aut-flex-5p-679475352,"
									Jeep Compass 2.0 Longitude (Aut) (Flex) 5p
								"
 R$ 24.500,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-fox-g2-1-0-completo-2010-2011-703632444,"
									Volkswagen Fox G2 1.0 Completo 2010/2011 - 2011
								"
 R$ 52.800,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fluence-sed-dyn-plus-2-0-2016-649775306,"
									Fluence Sed. Dyn. Plus 2.0 2016 - 2016
								"
 R$ 13.500,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-1-0-16v-turbo-motor-com-5-000-km-703630068,"
									Gol 1.0 16v Turbo Motor com 5.000 km - 2001
								"
 R$ 19.800,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-gol-1-6-power-completo-2007-2007-703626568,"
									Volkswagen Gol 1.6 Power Completo 2007/2007 - 2007
								"
 R$ 51.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-gli-automatico-686943489,"
									Toyota Corolla GLI Automatico - 2013
								"
 R$ 68.000,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fusion-titanium-2-0-gtdi-eco-awd-aut-676801024,"
									Fusion Titanium 2.0 GTDI Eco. Awd Aut. - 2013
								"
 R$ 39.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-new-fiesta-sedan-se-1-6-16v-125cv-flex-branco-2014-2015-701105326,"
									FORD NEW FIESTA SEDAN SE 1.6 16V 125CV FLEX Branco 2014/2015 - 2014
								"
 R$ 21.000,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/oportunidade-citroen-c3-703618485,"
									Oportunidade Citroen C3 - 2011
								"
 R$ 10.500,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/santana-703618354,"
									Santana - 1994
								"
 R$ 39.890,https://(null).olx.com.br/(null)/(null)/ka-1-0-se-flex-692534584,"
									Ka 1.0 SE (Flex)
								"
 R$ 19.900,https://(null).olx.com.br/(null)/(null)/207-sedan-passion-xr-sport-1-4-8v-flex-677790075,"
									207 Sedan Passion XR Sport 1.4 8V (flex)
								"
 R$ 30.990,https://(null).olx.com.br/(null)/(null)/i30-cw-2-0i-4p-mec-695694515,"
									i30 CW 2.0i 4p mec
								"
 R$ 104.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/a4-2017-2018-2-0-tfsi-attraction-gasolina-4p-s-tronic-695854462,"
									A4 2017/2018 2.0 TFSI ATTRACTION GASOLINA 4P S TRONIC - 2018
								"
 R$ 40.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/nissan-versa-2018-2018-1-0-12v-flex-4p-manual-654386277,"
									NISSAN VERSA 2018/2018 1.0 12V FLEX 4P MANUAL - 2018
								"
 R$ 36.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renault-sandero-2018-2019-1-0-12v-sce-flex-expression-manual-662721297,"
									RENAULT SANDERO 2018/2019 1.0 12V SCE FLEX EXPRESSION MANUAL - 2019
								"
 R$ 24.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/new-qq-look-1-0-2018-674981321,"
									New QQ Look 1.0 2018 - 2018
								"
 R$ 29.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/golf-sportline-com-teto-solar-impecavel-703609399,"
									Golf Sportline com teto solar impecável - 2009
								"
 R$ 74.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-captiva-2015-2016-2-4-sidi-16v-gasolina-4p-automatico-659228495,"
									CHEVROLET CAPTIVA 2015/2016 2.4 SIDI 16V GASOLINA 4P AUTOMÁTICO - 2016
								"
 R$ 34.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/voyage-trendline-1-6-8v-607419147,"
									VOYAGE Trendline 1.6 8V - 2016
								"
 R$ 7.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/206-selection-sensation-1-0-16v-697652319,"
									206 Selection/ Sensation 1.0 16V - 2002
								"
 R$ 29.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/megane-grand-tour-dynam-hi-flex-1-6-16v-615941407,"
									Megane Grand Tour Dynam. Hi-Flex 1.6 16V - 2013
								"
 R$ 38.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hb20-comf-c-plus-c-style-1-0-12v-682164080,"
									HB20 Comf./C.Plus/C.Style 1.0 12V - 2016
								"
 R$ 34.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/peugeot-208-1-6-2014-703594906,"
									Peugeot 208 1.6 2014 - 2014
								"
 R$ 41.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-2019-2019-1-0-firefly-flex-drive-manual-676166541,"
									FIAT ARGO 2019/2019 1.0 FIREFLY FLEX DRIVE MANUAL - 2019
								"
 R$ 31.900,https://(null).olx.com.br/(null)/(null)/fit-lx-1-4-flex-4p-497151744,"
									Fit LX 1.4 (flex) 4p
								"
 R$ 35.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/logan-2014-2014-1-0-expression-16v-flex-4p-manual-701281588,"
									LOGAN 2014/2014 1.0 EXPRESSION 16V FLEX 4P MANUAL - 2014
								"
 R$ 35.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/nissan-versa-2013-1-6-sv-no-gnv-687931293,"
									Nissan Versa 2013 1.6 SV no GNV - 2013
								"
