image,href,adress,price,title
https://img.olx.com.br/thumbs256x256/82/821021006339235.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fox-1-6-flex-17-500-00-708669904,"
									Palhoça, 
										Barra do Aririú
									
								", R$ 17.500,"
									Fox 1.6 Flex 17,500,00 - 2008
								"
https://img.olx.com.br/thumbs256x256/77/775016000797618.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fox-prime-hghi-imotion-1-6-8v-708616512,"
									Palhoça, 
										Ponte do Imaruim
									
								", R$ 27.900,"
									Fox PRIME/Hghi. IMOTION 1.6 8V - 2011
								"
https://img.olx.com.br/thumbs256x256/47/471917111854658.jpg,https://(null).olx.com.br/brasil/(null)/spacefox-1-6-msi-trendline-flex-672149919,"
									
										Kobrasol
									
								", R$ 49.900,"
									SpaceFox 1.6 MSI Trendline (Flex)
								"
https://img.olx.com.br/thumbs256x256/47/476917118950522.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fox-2012-2012-1-6-mi-8v-flex-4p-automatizado-705239513,"
									São José, 
										Campinas
									
								", R$ 27.900,"
									FOX 2012/2012 1.6 MI 8V FLEX 4P AUTOMATIZADO - 2012
								"
https://img.olx.com.br/thumbs256x256/85/857916097767588.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-1-6-8v-708603202,"
									Palhoça, 
										Ponte do Imaruim
									
								", R$ 42.900,"
									Gol 1.6 8V - 2019
								"
"https://img.olx.com.br/thumbs256x256/29/291929108564169.jpg,292929107087488.jpg,295929109705217.jpg,297929105571209.jpg,297929101434320.jpg,299929107004277.jpg,295929108003851.jpg,290929102321812.jpg,295929106667510.jpg",https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/golf-sportline-2010-708539558,"
									Palhoça, 
										Alto Aririú
									
								", R$ 33.000,"
									Golf sportline 2010 - 2010
								"
https://img.olx.com.br/thumbs256x256/39/394909116712488.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fox-1-6-completo-whats-706679320,"
									Santo Amaro da Imperatriz
										
									
								", R$ 17.500,"
									Fox 1.6 completo whats * - 2006
								"
https://img.olx.com.br/thumbs256x256/86/860917092176158.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-polo-comfortline-696885889,"
									São José, 
										Campinas
									
								", R$ 30.900,"
									Volkswagen Polo Comfortline - 2012
								"
https://img.olx.com.br/thumbs256x256/53/531923112749216.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/celta-2012-708679881,"
									São José, 
										Real Parque
									
								", R$ 14.000,"
									Celta 2012 - 2012
								"
https://img.olx.com.br/thumbs256x256/81/810020007507769.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/passat-2011-2012-2-0-fsi-dsg-gasolina-4p-automatico-697109351,"
									São José, 
										Jardim Cidade de Florianópolis
									
								", R$ 57.900,"
									PASSAT 2011/2012 2.0 FSI DSG GASOLINA 4P AUTOMÁTICO - 2012
								"
https://img.olx.com.br/thumbs256x256/81/810020006209677.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-saveiro-2012-2012-1-6-mi-ce-8v-flex-2p-manual-g-v-675029244,"
									São José, 
										Jardim Cidade de Florianópolis
									
								", R$ 29.900,"
									VOLKSWAGEN SAVEIRO 2012/2012 1.6 MI CE 8V FLEX 2P MANUAL G.V - 2012
								"
"https://img.olx.com.br/thumbs256x256/79/796018002965992.jpg,795018004859249.jpg,793018003884010.jpg,794018002152639.jpg,795018000675958.jpg,799018005241376.jpg,796018003382568.jpg,794018002407329.jpg",https://(null).olx.com.br/brasil/(null)/novo-voyage-1-6-msi-trendline-flex-689205119,"
									
										Kobrasol
									
								", R$ 38.900,"
									Novo Voyage 1.6 MSI Trendline (Flex)
								"
https://img.olx.com.br/thumbs256x256/90/900921098925516.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/meriva-aceito-trocas-708662892,"
									Palhoça, 
										Aririú
									
								", R$ 51.300,"
									Meriva ACEITO TROCAS - 2007
								"
https://img.olx.com.br/thumbs256x256/74/748013002612139.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gm-spin-2017-automatico-669692740,"
									São José, 
										Campinas
									
								", R$ 41.790,"
									GM Spin 2017 Automático - 2017
								"
"https://img.olx.com.br/thumbs256x256/79/790018001795154.jpg,791018000318473.jpg,797018001069548.jpg,794018005036613.jpg,797018009592867.jpg,791018001359913.jpg,792018008406551.jpg,795018003039212.jpg,791018009883232.jpg",https://(null).olx.com.br/brasil/(null)/onix-1-0-lt-spe-4-hatch-mec-4p-705723402,"
									
										Kobrasol
									
								", R$ 35.790,"
									Onix 1.0 LT SPE/4 Hatch Mec 4p
								"
https://img.olx.com.br/thumbs256x256/35/353905110506088.jpg,https://(null).olx.com.br/brasil/(null)/onix-1-4-ltz-spe-4-692509291,"
									
										Kobrasol
									
								", R$ 41.900,"
									Onix 1.4 LTZ SPE/4
								"
https://img.olx.com.br/thumbs256x256/57/574918087963292.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/onix-2014-2015-1-4-mpfi-ltz-8v-flex-4p-automatico-708592540,"
									São José, 
										Praia Comprida
									
								", R$ 22.800,"
									ONIX 2014/2015 1.4 MPFI LTZ 8V FLEX 4P AUTOMÁTICO - 2015
								"
https://img.olx.com.br/thumbs256x256/88/886919098744912.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2014-2015-1-0-mpfi-lt-8v-flex-4p-manual-676750409,"
									São José, 
										Jardim Cidade de Florianópolis
									
								", R$ 37.900,"
									Chevrolet celta 1.0 lt - 2012
								"
https://img.olx.com.br/thumbs256x256/88/885919092931513.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-ltz-1-4-8v-at6-eco-flex-cinza-2017-2017-705261803,"
									São José, 
										Kobrasol
									
								", R$ 48.900,"
									CHEVROLET ONIX 2014/2015 1.0 MPFI LT 8V FLEX 4P MANUAL - 2015
								"
https://img.olx.com.br/thumbs256x256/82/825021008979059.jpg,https://(null).olx.com.br/brasil/(null)/agile-ltz-1-4-8v-flex-648491141,"
									São José, 
										Picadas do Sul
									
								", R$ 27.900,"
									CHEVROLET ONIX LTZ 1.4 8V AT6 ECO FLEX Cinza 2017/2017 - 2017
								"
https://img.olx.com.br/thumbs256x256/20/209920100869562.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vemda-708272434,"
									Biguaçu
										
									
								", R$ 1.500,"
									Vemda - 1997
								"
https://img.olx.com.br/thumbs256x256/51/516921112660415.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-voyage-2018-2019-1-0-12v-mpi-totalflex-4p-manual-693979240,"
									São José, 
										Fazenda Santo Antônio
									
								", R$ 40.900,"
									VOLKSWAGEN VOYAGE 2018/2019 1.0 12V MPI TOTALFLEX 4P MANUAL - 2019
								"
https://img.olx.com.br/thumbs256x256/76/760907095934732.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-new-beetle-beetle-2-0-aut-top-de-linha-670773234,"
									São José, 
										Campinas
									
								", R$ 37.900,"
									Volkswagen New Beetle beetle 2.0 aut. top de linha - 2010
								"
https://img.olx.com.br/thumbs256x256/81/812020003161671.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fox-preto-em-perfeito-estado-708248973,"
									Palhoça, 
										Aririú
									
								", R$ 11.000,"
									Fox preto em perfeito estado - 2006
								"
https://img.olx.com.br/thumbs256x256/77/778016006733855.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-g4-2006-708236563,"
									Santo Amaro da Imperatriz
										
									
								", R$ 7.000,"
									Gol G4 2006 - 2006
								"
https://img.olx.com.br/thumbs256x256/81/810020000898450.jpg,https://(null).olx.com.br/brasil/(null)/voyage-1-0-total-flex-646301800,"
									
										Kobrasol
									
								", R$ 22.900,"
									Voyage 1.0 Total Flex
								"
https://img.olx.com.br/thumbs256x256/58/585928113063389.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-voyage-2018-2019-1-6-msi-totalflex-4p-manual-685415518,"
									São José, 
										Campinas
									
								", R$ 41.900,"
									VOLKSWAGEN VOYAGE 2018/2019 1.6 MSI TOTALFLEX 4P MANUAL - 2019
								"
https://img.olx.com.br/thumbs256x256/36/367906113338148.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-cobalt-2018-2019-1-8-mpfi-ltz-8v-flex-4p-automatico-652412950,"
									
										Kobrasol
									
								", R$ 55.900,"
									Agile LTZ 1.4 8V (Flex)
								"
https://img.olx.com.br/thumbs256x256/46/468916114332503.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/prisma-maxx-1-4-sedan-4p-flex-1-4-645717675,"
									São José, 
										Campinas
									
								", R$ 22.790,"
									CHEVROLET COBALT 2018/2019 1.8 MPFI LTZ 8V FLEX 4P AUTOMÁTICO - 2019
								"
https://img.olx.com.br/thumbs256x256/82/820020002092159.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-prisma-2017-2018-1-0-mpfi-joy-8v-flex-4p-manual-570192073,"
									São José, 
										Kobrasol
									
								", R$ 40.900,"
									Prisma Maxx 1.4 Sedan 4p (Flex) 1.4  - 2011
								"
"https://img.olx.com.br/thumbs256x256/61/610931112362746.jpg,618931116978305.jpg,615931110829978.jpg,614931118712036.jpg,611931112464714.jpg,616931115758674.jpg,612931110988033.jpg,619931115501624.jpg",https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2018-2019-1-0-mpfi-lt-8v-flex-4p-manual-673745736,"
									São José, 
										Barreiros
									
								", R$ 42.840,"
									CHEVROLET PRISMA 2017/2018 1.0 MPFI JOY 8V FLEX 4P MANUAL - 2018
								"
https://img.olx.com.br/thumbs256x256/80/805019009810539.jpg,https://(null).olx.com.br/brasil/(null)/onix-1-0-ls-spe-4-708423680,"
									São José, 
										Barreiros
									
								", R$ 36.900,"
									CHEVROLET ONIX 2018/2019 1.0 MPFI LT 8V FLEX 4P MANUAL - 2019
								"
https://img.olx.com.br/thumbs256x256/76/762015003773376.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/spin-activ-1-8-8v-708404929,"
									
										Kobrasol
									
								", R$ 54.900,"
									Onix 1.0 LS SPE/4
								"
https://img.olx.com.br/thumbs256x256/44/445905082657017.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-cobalt-2016-2017-1-8-mpfi-elite-8v-flex-4p-automatico-674262839,"
									São José, 
										Campinas
									
								", R$ 52.990,"
									SPIN ACTIV 1.8 8V - 2017
								"
https://img.olx.com.br/thumbs256x256/64/643003001737255.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/celta-life-ls-1-0-8v-697092143,"
									São José, 
										Praia Comprida
									
								", R$ 16.900,"
									CHEVROLET COBALT 2016/2017 1.8 MPFI ELITE 8V FLEX 4P AUTOMÁTICO - 2017
								"
https://img.olx.com.br/thumbs256x256/19/196919100293943.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-2018-2019-1-6-msi-totalflex-4p-manual-662866055,"
									São José, 
										Campinas
									
								", R$ 39.100,"
									GOL 2018/2019 1.6 MSI TOTALFLEX 4P MANUAL - 2019
								"
https://img.olx.com.br/thumbs256x256/50/509920113247481.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-spacefox-2015-2016-1-6-msi-trendline-8v-flex-4p-manual-654913196,"
									São José, 
										Praia Comprida
									
								", R$ 44.990,"
									VOLKSWAGEN SPACEFOX 2015/2016 1.6 MSI TRENDLINE 8V FLEX 4P MANUAL - 2016
								"
https://img.olx.com.br/thumbs256x256/80/803019004072505.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-1-6-power-708213316,"
									Rancho Queimado
										
									
								", R$ 15.000,"
									Gol 1.6 power - 2005
								"
https://img.olx.com.br/thumbs256x256/65/651004003749651.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-golf-comfortline-1-4-tsi-preto-2014-2014-706604393,"
									São José, 
										Picadas do Sul
									
								", R$ 56.900,"
									VOLKSWAGEN GOLF COMFORTLINE 1.4  TSI Preto 2014/2014 - 2014
								"
https://img.olx.com.br/thumbs256x256/43/439913115955785.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/spacefox-1-6-automatico-708187751,"
									São José, 
										Areias
									
								", R$ 26.000,"
									Spacefox 1.6 automático - 2013
								"
"https://img.olx.com.br/thumbs256x256/81/811020003532669.jpg,813020002727162.jpg,811020008191320.jpg,812020004203843.jpg",https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/voyage-2018-2019-1-6-msi-totalflex-4p-manual-675706881,"
									São José, 
										Barreiros
									
								", R$ 41.900,"
									VOYAGE 2018/2019 1.6 MSI TOTALFLEX 4P MANUAL - 2019
								"
https://img.olx.com.br/thumbs256x256/77/770016004424606.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-spacefox-2017-2018-1-6-msi-trendline-8v-flex-4p-manual-677528492,"
									São José, 
										Serraria
									
								", R$ 48.500,"
									VOLKSWAGEN SPACEFOX 2017/2018 1.6 MSI TRENDLINE 8V FLEX 4P MANUAL - 2018
								"
https://img.olx.com.br/thumbs256x256/06/063906104625537.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-2018-2019-1-6-msi-totalflex-4p-manual-662740091,"
									São José, 
										Campinas
									
								", R$ 37.900,"
									GOL 2018/2019 1.6 MSI TOTALFLEX 4P MANUAL - 2019
								"
https://img.olx.com.br/thumbs256x256/78/785017001438859.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vendo-corsa-2001-708273551,"
									Palhoça, 
										Caminho Novo
									
								", R$ 8.500,"
									Celta Life/ LS 1.0 8V - 2009
								"
https://img.olx.com.br/thumbs256x256/80/806019006213832.jpg,https://(null).olx.com.br/brasil/(null)/cobalt-ltz-1-4-8v-flex-700745966,"
									Palhoça, 
										Pachecos
									
								", R$ 35.900,"
									Vendo Corsa 2001 - 2001
								"
https://img.olx.com.br/thumbs256x256/81/813020005188801.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/cobalt-2018-2019-1-8-mpfi-ltz-8v-flex-4p-automatico-662804211,"
									
										Kobrasol
									
								", R$ 54.990,"
									Cobalt LTZ 1.4 8V (Flex)
								"
"https://img.olx.com.br/thumbs256x256/75/750014009866495.jpg,752014001225424.jpg,759014004463481.jpg",https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/onix-ltz-mylink-68-mil-km-sc-704373003,"
									São José, 
										Campinas
									
								", R$ 36.990,"
									COBALT 2018/2019 1.8 MPFI LTZ 8V FLEX 4P AUTOMÁTICO - 2019
								"
https://img.olx.com.br/thumbs256x256/81/816020008967678.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-astra-advantage-2-0-completo-2011-2011-660157533,"
									Palhoça, 
										Ponte do Imaruim
									
								", R$ 26.500,"
									Onix LTZ Mylink 68 mil km SC - 2015
								"
https://img.olx.com.br/thumbs256x256/81/818020009768715.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-ltz-1-4-8v-mt6-eco-flex-prata-2017-2018-694095964,"
									Santo Amaro da Imperatriz
										
									
								", R$ 47.000,"
									Chevrolet Astra Advantage 2.0 Completo 2011/2011 - 2011
								"
https://img.olx.com.br/thumbs256x256/77/770015008695669.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/onix-hatch-lt-1-0-663117928,"
									São José, 
										Picadas do Sul
									
								", R$ 32.890,"
									CHEVROLET ONIX LTZ 1.4 8V MT6 ECO FLEX Prata 2017/2018 - 2017
								"
