image,href,adress,price,title
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2020\202001\20200102\fiat-palio-1.0-mpi-fire-8v-flex-4p-manual-wmimagem14164994211.jpg,FIAT PALIO 1.0 MPI FIRE 8V FLEX 4P MANUAL,Joinville,23990.0,FIAT PALIO 1.0 MPI FIRE 8V FLEX 4P MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2020\202001\20200109\fiat-palio-1.0-mpi-fire-8v-flex-4p-manual-wmimagem17390540032.jpg,FIAT PALIO 1.0 MPI FIRE 8V FLEX 4P MANUAL,Balneário Camboriú,25990.0,FIAT PALIO 1.0 MPI FIRE 8V FLEX 4P MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201911\20191113\fiat-strada-1.4-mpi-working-cd-8v-flex-3p-manual-wmimagem16161941149.jpg,FIAT STRADA 1.4 MPI WORKING CD 8V FLEX 3P MANUAL,Blumenau,46900.0,FIAT STRADA 1.4 MPI WORKING CD 8V FLEX 3P MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201912\20191218\fiat-toro-2.4-16v-multiair-flex-volcano-at9-wmimagem1551153434.jpg,FIAT TORO 2.4 16V MULTIAIR FLEX VOLCANO AT9,Itajaí,99989.0,FIAT TORO 2.4 16V MULTIAIR FLEX VOLCANO AT9
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201912\20191230\fiat-uno-1.4-evo-evolution-8v-flex-4p-manual-wmimagem1625202298.jpg,FIAT UNO 1.4 EVO EVOLUTION 8V FLEX 4P MANUAL,Joinville,30899.0,FIAT UNO 1.4 EVO EVOLUTION 8V FLEX 4P MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2020\202001\20200110\fiat-freemont-2.4-precision-16v-gasolina-4p-automatico-wmimagem12041963042.jpg,FIAT FREEMONT 2.4 PRECISION 16V GASOLINA 4P AUTOMÁTICO,São José,53899.0,FIAT FREEMONT 2.4 PRECISION 16V GASOLINA 4P AUTOMÁTICO
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201911\20191101\fiat-palio-1.0-mpi-attractive-8v-flex-4p-manual-wmimagem10100212451.jpg,FIAT PALIO 1.0 MPI ATTRACTIVE 8V FLEX 4P MANUAL,Jaraguá do Sul,30490.0,FIAT PALIO 1.0 MPI ATTRACTIVE 8V FLEX 4P MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2020\202001\20200106\fiat-uno-1.0-evo-vivace-8v-flex-2p-manual-wmimagem12170005065.jpg,FIAT UNO 1.0 EVO VIVACE 8V FLEX 2P MANUAL,Itajaí,25899.0,FIAT UNO 1.0 EVO VIVACE 8V FLEX 2P MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201912\20191218\fiat-palio-1.0-mpi-fire-way-8v-flex-4p-manual-wmimagem15534555622.jpg,FIAT PALIO 1.0 MPI FIRE WAY 8V FLEX 4P MANUAL,Itajaí,22599.0,FIAT PALIO 1.0 MPI FIRE WAY 8V FLEX 4P MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201912\20191210\fiat-idea-1.8-mpi-adventure-16v-flex-4p-manual-wmimagem11372972833.jpg,FIAT IDEA 1.8 MPI ADVENTURE 16V FLEX 4P MANUAL,São José,39899.0,FIAT IDEA 1.8 MPI ADVENTURE 16V FLEX 4P MANUAL
