image,href,adress,price,title
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2020\202001\20200102\fiat-palio-1.0-mpi-fire-8v-flex-4p-manual-wmimagem14164994211.jpg,FIAT PALIO 1.0 MPI FIRE 8V FLEX 4P MANUAL,Joinville,23990.0,FIAT PALIO 1.0 MPI FIRE 8V FLEX 4P MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2020\202001\20200109\fiat-palio-1.0-mpi-fire-8v-flex-4p-manual-wmimagem17390540032.jpg,FIAT PALIO 1.0 MPI FIRE 8V FLEX 4P MANUAL,Balneário Camboriú,25990.0,FIAT PALIO 1.0 MPI FIRE 8V FLEX 4P MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2020\202001\20200115\fiat-strada-1.4-mpi-working-cd-8v-flex-3p-manual-wmimagem17152423028.jpg,FIAT STRADA 1.4 MPI WORKING CD 8V FLEX 3P MANUAL,Blumenau,46900.0,FIAT STRADA 1.4 MPI WORKING CD 8V FLEX 3P MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201912\20191218\fiat-toro-2.4-16v-multiair-flex-volcano-at9-wmimagem1551153434.jpg,FIAT TORO 2.4 16V MULTIAIR FLEX VOLCANO AT9,Itajaí,99989.0,FIAT TORO 2.4 16V MULTIAIR FLEX VOLCANO AT9
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2020\202001\20200121\fiat-freemont-2.4-precision-16v-gasolina-4p-automatico-wmimagem08510950724.jpg,FIAT FREEMONT 2.4 PRECISION 16V GASOLINA 4P AUTOMÁTICO,São José,54899.0,FIAT FREEMONT 2.4 PRECISION 16V GASOLINA 4P AUTOMÁTICO
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201911\20191101\fiat-palio-1.0-mpi-attractive-8v-flex-4p-manual-wmimagem10100212451.jpg,FIAT PALIO 1.0 MPI ATTRACTIVE 8V FLEX 4P MANUAL,Jaraguá do Sul,30490.0,FIAT PALIO 1.0 MPI ATTRACTIVE 8V FLEX 4P MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2020\202001\20200121\fiat-idea-1.8-mpi-adventure-16v-flex-4p-manual-wmimagem08514332213.jpg,FIAT IDEA 1.8 MPI ADVENTURE 16V FLEX 4P MANUAL,São José,39899.0,FIAT IDEA 1.8 MPI ADVENTURE 16V FLEX 4P MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201910\20191028\fiat-uno-1.0-evo-vivace-8v-flex-4p-manual-wmimagem14360414684.jpg,FIAT UNO 1.0 EVO VIVACE 8V FLEX 4P MANUAL,Rio do Sul,22490.0,FIAT UNO 1.0 EVO VIVACE 8V FLEX 4P MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201910\20191023\fiat-argo-1.0-firefly-flex-drive-manual-wmimagem15472219733.jpg,FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL,São José,41900.0,FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201909\20190917\fiat-argo-1.0-firefly-flex-drive-manual-wmimagem12031307560.jpg,FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL,Itajaí,40900.0,FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL
